Service,EC2_Instances,S3,EC2_ELB,VPC,CloudWatch,SQS,QuickSight($),CloudFront,Route_53,SNS,Lambda($),SimpleDB($),SWF($),DynamoDB($),Glacier($),CloudTrail($),IoT($),Key Management Service($),Total cost ($)
2018-01-01,122.9028120641,24.6507382357,22.7972394744,1.2002290702,0.0808451623,0.2106102948,0,0.0154002942,0.5341764,0.0024615035,,2.049E-07,1.88E-08,1.76E-08,1.49E-08,0,0,0,2186.9331495582
2018-01-02,140.1524010431,134.7361503913,23.018934233,1.2002292,0.0808451622,0.2664168436,0,0.0448430487,0.0481376,0.0039680931,,,,,,0,,,389.4189216237
2018-01-03,157.2077367675,108.7267673313,22.974019311,1.2002285722,0.0811451624,0.271328218,0,0.0932814506,0.0476508,0.0042768596,,,,,,0,,0,379.8665471804
2018-01-04,171.4572144785,144.6135283941,23.2059885114,1.2002286474,0.0812651624,0.2696976844,0,0.1043166912,0.0466408,0.0041412475,1.7434E-06,,,,,0,,0,429.8536166087
2018-01-05,160.7735816143,104.3333343859,23.1946212293,1.2002292362,0.0809051623,0.2587979607,0,0.11073441,0.0454452,0.0044099761,4.7281E-06,,,,,0,,0,379.9348430133
2018-01-06,153.1731051877,51.6962465952,23.1501975199,1.2002304473,0.0808451623,0.2655150484,0,0.1217072946,0.0401364,0.0044177862,,,,,,0,,,320.5151943934
2018-01-07,126.9365456801,8.9135149673,23.0359850882,1.2001627462,0.0808451624,0.2225845034,0,0.0782011324,0.0334792,0.0011913253,,,,,,0,,,253.0814127182
2018-01-08,165.0544291473,79.9488127066,23.2184595223,1.2000520403,0.0812051623,0.2604450582,0,0.0528003151,0.0473084,0.0038754709,4.9493E-06,,,,,0,,0,360.6314494434
2018-01-09,169.7292538077,80.5168204524,23.1198734821,1.2000019406,0.0810351624,0.286777805,0,0.0586435426,0.0467452,0.0042288959,8.9876E-06,,,,,0,,0,365.4015350901
2018-01-10,172.1203193486,73.6791313851,23.1407139164,1.2000010383,0.0808451623,0.288399024,0,0.0406942345,0.0476372,0.0050267612,5.5942E-06,,,,,0,,0,360.7375283151
2018-01-11,175.1104754889,62.3312301048,23.3472878144,1.200000887,0.216349036,0.3171997134,0,0.0423343634,0.0475144,0.0137218987,8.827E-07,,,,,0,,0,352.9938828627
2018-01-12,175.7576703215,48.7433217381,23.2759542536,1.2000009234,0.2188690359,0.299546581,0,0.0330563669,0.0463136,0.0736194548,0.0001273423,,,,,0,,0,411.6622138264
2018-01-13,164.9764611105,24.7285636436,23.0558092629,1.2000004453,0.2163490358,0.2822491165,0,0.0553881319,0.036152,0.0037673111,,,,,,0,,0,306.5643967138
2018-01-14,134.7247117897,7.74023131,23.0539697279,1.2000003452,0.2163490359,0.2577997155,0,0.0377593149,0.0339296,0.0011457491,,,,,,0,,,262.0323800204
2018-01-15,177.7000589266,38.4194640879,23.489054368,1.2000004089,0.2164690358,0.3115482308,0,0.0652609346,0.047754,0.0028721466,0.000021385,1.914E-07,1.97E-08,1.84E-08,1.55E-08,0,0,0,344.4859503635
2018-01-16,185.7995664415,68.7047604085,23.5138694642,1.2000003365,0.2165890359,0.348212111,0.274193544,0.0726469062,0.052178,0.0062090651,2.2508E-06,,,0,,0,,0,371.7182622821
2018-01-17,176.5852661798,73.4156404829,23.6330340289,1.20000036,0.4098974199,0.3530750228,0.387096768,0.0844783599,0.050484,0.0064071096,1.6587E-06,,,0,,0,,0,368.8184682398
2018-01-18,171.5342835148,93.7180564453,23.517084148,1.2000003595,0.4494135497,0.3552573215,0.387096768,0.1651317324,0.0491748,0.0057437839,4.0117E-06,,,0,,0,,0,385.4709131383
2018-01-19,174.8857395615,84.8942738588,23.307290197,1.2000003656,0.4773593387,0.3280305196,0.387096768,0.0481487015,0.0453072,0.0053516596,1.2617E-06,,,0,,0,,0,378.7721081705
2018-01-20,156.5675267938,53.0723276172,23.3001233289,1.2000003254,0.477639357,0.29993556,0.387096768,0.0639765733,0.039506,0.002850736,,,,0,,0,,,329.7674795383
2018-01-21,133.2935689567,12.8212065514,23.3410828389,1.2000003158,0.477639357,0.266212769,0.387096768,0.0797091807,0.0333932,0.0023306567,,,,0,,0,,,268.3878104465
2018-01-22,162.9722163634,70.30313235,23.7224308937,1.2000003542,0.4986070993,0.3221025414,0.387096768,0.0684423184,0.0460672,0.0052827835,,,,0,,0,,,353.5590840447
2018-01-23,169.3737107001,88.6827035272,24.2407939709,1.2000003361,0.4776393573,0.3297980238,0.387096768,0.09364681,0.0469352,0.0040974078,5.4052E-06,,,0,,0,,0,371.2568694334
2018-01-24,169.3746432091,131.0692560127,24.0601443406,1.2000003427,0.5143329062,0.3608764275,0.387096768,0.0534817243,0.0477864,0.0088398985,,,,0,,0,,,403.503862952
2018-01-25,164.1214635741,105.1885513453,23.8842223181,1.2000003535,0.545801294,0.3742568708,0.387096768,0.0653914186,0.0494732,0.0088956799,0.000008473,,,0,,0,,0,377.4777150183
2018-01-26,129.5617880008,25.9215960543,23.7233921045,1.2000003618,0.5373167778,0.3044751019,0.387096768,0.0397981252,0.0372156,0.0082838011,,,,0,,0,,,270.4612225106
2018-01-27,129.7670119146,75.2195467683,23.7436442191,1.2000003253,0.5453812938,0.2847400195,0.387096768,0.0371690223,0.0339132,0.0087950341,,,,0,,0,,,320.4160957999
2018-01-28,129.5639206957,9.241602047,23.6540541072,1.2000003372,0.5453812936,0.2503170372,0.387096768,0.0458711259,0.0313604,0.0020780905,,,,0,,0,,,253.5556761845
2018-01-29,155.562501142,93.7843463498,24.0591179733,1.2000003311,0.5378567782,0.3507867593,0.387096768,0.1232042212,0.0480764,0.0075780023,1.09255E-05,,,0,,0,,0,363.4183040098
2018-01-30,161.7077333344,92.3595271244,24.062220555,1.2000003367,0.5455612939,0.3609927254,0.387096768,0.0748649044,0.0486576,0.0084457997,9.878E-07,,,0,,0,,0,367.6951447203
2018-01-31,160.9494551207,92.7871215926,24.302529163,1.2000003461,0.5832748429,0.3690114719,0.387096768,0.1567969273,0.047574,0.0092142293,4.7331E-06,,,0,,0,,0,370.0918609305
